id,slot_no,status,vehicle,lot_id,road_name,lot_type,geom
504,504,occupied,,Optic Orthodox Church2,Optic Orthodox Church,,0106000020E61000000100000001030000000100000005000000E0B0BD4E1E664240017D3C617AC4F4BFD0C150AD1C664240FFB9FCD583C4F4BF58684F851C664240FFECF77F66C4F4BFA8777B271E664240008812975DC4F4BFE0B0BD4E1E664240017D3C617AC4F4BF
2,2,,,MBAGATHI ROAD2,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000989D3832EF664240FE43063352E9F4BF10A252E5EE664240FF45F46833E9F4BF78727A6FF066424001C8B5732AE9F4BFF8DA499DF0664240FEB3B4F249E9F4BF989D3832EF664240FE43063352E9F4BF
37,37,available,,MBAGATHI ROAD37,Mbagathi Road,,0106000020E61000000100000001030000000100000005000000282E1D99E5664240011DFE2D10E3F4BFE03FB3E4E46642400007CCB042E3F4BF7035D0EEE3664240FF8FD43D10E3F4BF7821EC9AE466424000C7298BD9E2F4BF282E1D99E5664240011DFE2D10E3F4BF
108,108,,,KMTC31,KMTC,,0106000020E61000000100000001030000000100000005000000F05367B8F8664240018030B0C1CCF4BF487450A8F8664240020EBB03FDCCF4BFA8D2B989F7664240012E4A91FBCCF4BF004416B0F7664240FFD5B20DC0CCF4BFF05367B8F8664240018030B0C1CCF4BF
147,147,,,KNH12,KNH,,0106000020E61000000100000001030000000100000005000000D8A4A7D70C674240023E5FC740CDF4BFC8F80FDA0C674240FE33479D53CDF4BFC05B13840B67424000E1ABBD52CDF4BF982E7F830B674240006E4BE93BCDF4BFD8A4A7D70C674240023E5FC740CDF4BF
186,186,,,KNH51,KNH,,0106000020E61000000100000001030000000100000005000000E0456AD70D674240FF1A20686AC9F4BF702E38CF0D67424000B326B886C9F4BFF8ECDF800C67424002428ECE75C9F4BF18E380860C67424002A3CCD860C9F4BFE0456AD70D674240FF1A20686AC9F4BF
225,225,,,KNH90,KNH,,0106000020E6100000010000000103000000010000000500000038C1B83A11674240024D7ECD6AC8F4BF8063A5D51267424000E26C7765C8F4BF5012DFE41267424001276F407EC8F4BF6023C7451167424000B2AE9C80C8F4BF38C1B83A11674240024D7ECD6AC8F4BF
303,303,,,KNH168,KNH,,0106000020E61000000100000001030000000100000005000000F8BA7B0960674240FF32675CBCD8F4BFD0B8F97E5E674240FFEF3312C7D8F4BFF03B99615E674240FEDDDC13AFD8F4BF6847FCED5F674240FF48F1B4A6D8F4BFF8BA7B0960674240FF32675CBCD8F4BF
343,343,,,KNH208,KNH,,0106000020E610000001000000010300000001000000050000007008F1F5736742400035B0A6C9D4F4BF309EF46A7267424001B54B20C7D4F4BFE0175F6D726742400143CEE1ABD4F4BFB88621F873674240FF4297EEB0D4F4BF7008F1F5736742400035B0A6C9D4F4BF
455,455,,,Jamii Auto Care59,Jamii Auto Care,,0106000020E61000000100000001030000000100000005000000D06DAF906F664240FE15EEE509C7F4BF68739F007066424001FE2AFFDBC6F4BF30B59F0B71664240FFA62EE8D6C6F4BFF0789094706642400128EAF204C7F4BFD06DAF906F664240FE15EEE509C7F4BF
456,456,,,Jamii Auto Care60,Jamii Auto Care,,0106000020E61000000100000001030000000100000005000000A8CFE3A46E66424001E35E630EC7F4BF708364186F664240FF9F806CE0C6F4BF68739F007066424001FE2AFFDBC6F4BFD06DAF906F664240FE15EEE509C7F4BFA8CFE3A46E66424001E35E630EC7F4BF
489,489,,,Ngong Road7,Ngong Road,,0106000020E61000000100000001030000000100000005000000D009061CB1664240FFE2BECBC8C5F4BFC8085A4EB066424001D4FA83CAC5F4BFF0967E0BB0664240FF75F9D687C5F4BF90597ACAB0664240013DFAFE84C5F4BFD009061CB1664240FFE2BECBC8C5F4BF
727,727,,,Woodlands Road69,Woodlands Road,,0106000020E6100000010000000103000000010000000500000048C3D4295E664240FF882968C5ADF4BF307CB9C65C664240FF39F149E5ADF4BF6052C0065C664240FEF86437C6ADF4BF08B8F6915D664240FE41DC83ADADF4BF48C3D4295E664240FF882968C5ADF4BF
866,866,,,Nairobi Hospital115,Nairobi Hospital,,0106000020E61000000100000001030000000100000005000000688BAB04EA664240024FF67DD5BDF4BFF81A1D25E9664240024FF67DD5BDF4BF302A3EE5E866424001A2B51E95BDF4BF2802C9CCE966424001A2B51E95BDF4BF688BAB04EA664240024FF67DD5BDF4BF
900,900,,,Argwings Kodhek Road25,Argwings Kodhek Road,,0106000020E61000000100000001030000000100000005000000C01EE15B28674240FF0594CC38BDF4BF5819CE4E29674240FFF9F2FF33BDF4BFF8B59A872967424001A224C660BDF4BFB0E4A39228674240009955F863BDF4BFC01EE15B28674240FF0594CC38BDF4BF
934,934,,,Argwings Kodhek Road59,Argwings Kodhek Road,,0106000020E6100000010000000103000000010000000500000020129D562B67424000C780FB20BCF4BFF810A2892B674240005290F845BCF4BF00A403ED2967424001A02CB427BCF4BFC0E25BB829674240FFBF31B201BCF4BF20129D562B67424000C780FB20BCF4BF
970,970,,,Ethics and Anti Corruption3,Ethics and Anti Corruption,,0106000020E61000000100000001030000000100000005000000D8B7BDBE85674240FE9A6CB7E8A2F4BFD8B3BFD783674240FEEB1D03ECA2F4BF08A1FB608367424001DB6073D1A2F4BF780D734F85674240FF4E788ACEA2F4BFD8B7BDBE85674240FE9A6CB7E8A2F4BF
1040,1040,,,Lenana Road9,Lenana Road,,0106000020E61000000100000001030000000100000005000000603B94E5C7664240FEFC3ECA25A9F4BF90580315C7664240004CE91727A9F4BF40025076C7664240FF7FDA17ECA8F4BFF0E06E50C866424002CA87CBEAA8F4BF603B94E5C7664240FEFC3ECA25A9F4BF
1106,1106,,,Upper Hill Gardens Apartments42,Upper Hill Gardens Apartments,,0106000020E6100000010000000103000000010000000500000070D82EEEB8674240FF2EACDBD3B7F4BF68D88059B8674240FEF267DFDFB7F4BF3077133AB7674240FEA46AF5B4B7F4BF00C024E1B767424000101905AAB7F4BF70D82EEEB8674240FF2EACDBD3B7F4BF
1139,1139,,,Jakaya Kikwete Road24,Jakaya Kikwete Road,,0106000020E610000001000000010300000001000000050000007044F05F636742400148B35154A0F4BF309C217863674240FF37610485A0F4BF40A25ECA62674240FE8F8EE284A0F4BFC8F251C062674240FE89D43254A0F4BF7044F05F636742400148B35154A0F4BF
1173,1173,,,Prisons Headquarters13,Prisons Headquarters,,0106000020E61000000100000001030000000100000005000000109BBA58FC674240FFBF51FF14A7F4BFB0A5605DFA67424002734D2814A7F4BFD02B7769FA674240FE68E06DFCA6F4BFE07F1561FC674240FFEB9B1701A7F4BF109BBA58FC674240FFBF51FF14A7F4BF
